Id,ClosedAccount,Age,Gender,Education,CivilState,Salary,Product,NumMonthsBeingClient,NumProductsClient,NumMonthsWithoutOperating,CreditLimit,CreditNotPayed,SumTransactionAmount,NumTransactions
768805383,NO,45.0,M,High School,Married,$60K - $80K,1,39,5,1,12691.0,777.0,1144,42
818770008,NO,49.0,F,Graduate,Single,Less than $40K,1,44,6,1,8256.0,864.0,1291,33
713982108,NO,51.0,M,Graduate,Married,$80K - $120K,1,36,4,1,3418.0,0.0,1887,20
769911858,NO,40.0,,High School,Unknown,Less than $40K,1,34,3,4,3313.0,2517.0,1171,20
709106358,NO,40.0,M,Uneducated,Married,$60K - $80K,1,21,5,1,4716.0,0.0,816,28
713061558,NO,44.0,,Graduate,Married,$40K - $60K,1,36,3,1,4010.0,1247.0,1088,24
810347208,NO,51.0,M,Unknown,Married,$120K +,3,46,6,1,34516.0,2264.0,1330,31
818906208,NO,32.0,M,High School,Unknown,$60K - $80K,2,27,2,2,29081.0,1396.0,1538,36
710930508,NO,37.0,M,Uneducated,Single,$60K - $80K,1,36,5,2,22352.0,2517.0,1350,24
719661558,NO,48.0,M,Graduate,Single,$80K - $120K,1,36,6,3,11656.0,1677.0,1441,32
708790833,NO,42.0,M,Uneducated,Unknown,$120K +,1,31,5,3,6748.0,1467.0,1201,42
710821833,NO,65.0,M,Unknown,Married,$40K - $60K,1,54,6,2,9095.0,1587.0,1314,26
710599683,NO,56.0,M,College,Single,$80K - $120K,1,36,3,6,11751.0,0.0,1539,17
816082233,NO,35.0,M,Graduate,Unknown,$60K - $80K,1,30,5,1,8547.0,1666.0,1311,33
712396908,NO,57.0,F,Graduate,Married,Less than $40K,1,48,5,2,2436.0,680.0,1570,29
714885258,NO,44.0,M,Unknown,Unknown,$80K - $120K,1,37,5,1,4234.0,972.0,1348,27
709967358,NO,48.0,M,Post-Graduate,Single,$80K - $120K,1,36,6,2,30367.0,2362.0,1671,27
753327333,NO,41.0,M,Unknown,Married,$80K - $120K,1,34,4,4,13535.0,1291.0,1028,21
806160108,NO,61.0,M,High School,Married,$40K - $60K,1,56,2,2,3193.0,2517.0,1336,30
709327383,NO,45.0,F,Graduate,Married,Unknown,1,37,6,1,14470.0,1157.0,1207,21
806165208,NO,47.0,M,Doctorate,Divorced,$60K - $80K,1,42,5,2,20979.0,1800.0,1178,27
708508758,YES,62.0,F,Graduate,Married,Less than $40K,1,49,2,3,1438.3,0.0,692,16
784725333,NO,41.0,M,High School,Married,$40K - $60K,1,33,4,2,4470.0,680.0,931,18
811604133,NO,47.0,F,Unknown,Single,Less than $40K,1,36,3,3,2492.0,1560.0,1126,23
789124683,NO,54.0,M,Unknown,Married,$80K - $120K,1,42,4,2,12217.0,0.0,1110,21
771071958,NO,41.0,F,Graduate,Single,Less than $40K,1,28,6,1,,1669.0,1051,22
720466383,NO,59.0,M,High School,Unknown,$40K - $60K,1,46,4,1,14784.0,1374.0,1197,23
804424383,NO,63.0,M,Unknown,Married,$60K - $80K,1,56,3,3,10215.0,1010.0,1904,40
718813833,NO,44.0,F,Uneducated,Single,Unknown,1,34,5,2,10100.0,0.0,1052,18
806624208,NO,47.0,M,High School,Married,$40K - $60K,1,42,6,0,4785.0,1362.0,1045,38
778348233,NO,53.0,M,Unknown,,$80K - $120K,1,33,3,2,2753.0,1811.0,1038,25
712991808,NO,53.0,M,Uneducated,Married,$60K - $80K,1,48,2,5,2451.0,1690.0,1596,26
709029408,NO,41.0,M,Graduate,Married,$60K - $80K,1,36,4,1,8923.0,2517.0,1589,24
788658483,NO,53.0,F,College,Married,Less than $40K,1,38,5,2,2650.0,1490.0,1411,28
787937058,NO,58.0,M,Graduate,Married,$80K - $120K,1,49,6,2,12555.0,1696.0,1291,24
715318008,NO,55.0,F,College,Single,Less than $40K,1,36,4,2,3520.0,1914.0,1407,43
713962233,NO,55.0,F,Graduate,,Less than $40K,1,36,6,2,3035.0,2298.0,1877,37
785432733,NO,42.0,F,High School,Married,Less than $40K,3,36,2,3,15433.0,0.0,966,22
715190283,NO,57.0,F,Graduate,Unknown,$40K - $60K,1,49,3,3,3672.0,886.0,1464,28
708300483,YES,66.0,F,Doctorate,Married,Unknown,1,56,5,4,7882.0,605.0,704,16
827111283,NO,45.0,M,Graduate,Single,$80K - $120K,1,41,2,2,32426.0,578.0,1109,28
758551608,NO,51.0,M,Unknown,Married,$40K - $60K,1,44,4,1,6205.0,2204.0,1347,28
773146383,NO,50.0,F,College,Single,$40K - $60K,2,43,3,2,17304.0,2517.0,1756,33
778493808,NO,49.0,M,High School,Married,$60K - $80K,1,37,5,2,3906.0,0.0,1756,32
720572508,NO,38.0,F,Graduate,Single,Unknown,1,28,2,3,9830.0,2055.0,1042,23
712661433,NO,49.0,M,Uneducated,Single,$80K - $120K,1,30,3,2,34516.0,0.0,1444,28
789172683,NO,56.0,M,Doctorate,Married,$60K - $80K,1,45,6,2,2283.0,1430.0,1741,27
738406533,NO,59.0,M,Doctorate,Married,$40K - $60K,1,52,3,2,2548.0,2020.0,1719,27
799723908,NO,46.0,M,High School,Married,$80K - $120K,1,40,4,3,19458.0,1435.0,1217,27
771490833,NO,52.0,M,College,Single,$80K - $120K,1,40,5,1,4745.0,1227.0,1140,40
720756708,NO,52.0,F,Unknown,Married,Less than $40K,1,41,6,3,2622.0,1549.0,1878,30
779471883,YES,54.0,F,Graduate,Married,Less than $40K,1,40,2,3,1438.3,808.0,705,19
711525033,NO,66.0,F,High School,Married,Less than $40K,1,54,3,4,3171.0,2179.0,1946,38
712813458,NO,49.0,M,Unknown,Married,$120K +,1,36,4,2,19763.0,2517.0,1414,35
714374133,NO,56.0,M,Graduate,Married,$120K +,1,36,1,3,15769.0,0.0,602,15
717891558,NO,49.0,F,Graduate,Unknown,Less than $40K,1,36,6,4,3298.0,2200.0,1052,32
716632758,NO,49.0,F,Graduate,Single,Less than $40K,1,36,2,2,2802.0,2363.0,1295,40
768563658,NO,56.0,M,Uneducated,Married,$40K - $60K,1,50,4,2,4458.0,1880.0,1424,29
711427458,NO,44.0,F,Graduate,Married,Unknown,1,35,4,1,6273.0,978.0,1359,25
714091983,NO,42.0,M,High School,Single,$60K - $80K,1,34,4,4,3336.0,1753.0,1168,27
787584108,NO,55.0,M,Unknown,Married,$80K - $120K,1,47,4,2,3436.0,2016.0,1097,33
712030833,YES,48.0,M,Graduate,Married,$60K - $80K,2,35,2,4,34516.0,0.0,691,15
711481533,NO,39.0,M,High School,Divorced,$60K - $80K,1,33,5,3,5926.0,1251.0,1316,28
710082708,NO,44.0,M,Post-Graduate,Single,$120K +,1,32,2,4,23957.0,2102.0,1276,26
708155733,NO,53.0,M,High School,Single,$120K +,1,44,4,2,14734.0,1634.0,1289,23
788979258,NO,51.0,M,Uneducated,Single,$80K - $120K,2,38,4,1,34516.0,1515.0,1293,32
807986133,NO,57.0,M,College,Married,$60K - $80K,1,52,5,3,6584.0,1817.0,1353,35
788730933,NO,44.0,F,Uneducated,Single,Less than $40K,1,20,6,3,2084.0,1468.0,1132,28
